GT\Pred,0:Powder,1:Printed,2:Recoater Hopping,3:Recoater Streaking,4:Incomplete Spreading,5:Swelling,6:Debris,7:Super-Elevation,8:Spatter,9:Over Melting
0:Powder,11221474894,44374293,0,429441426,6559146,732042,551722,9923,378734945,231
1:Printed,54510,531054668,0,740034,761,2873615,382946,12729,3723467,132761
2:Recoater Hopping,7,0,0,0,0,0,0,0,18,0
3:Recoater Streaking,2338549,899593,0,182091043,9846,28417,1852,502,484977,10227
4:Incomplete Spreading,80069,7561,0,12875,435772,78,0,128,5296,18
5:Swelling,1158,2328422,0,48382,89,6714929,4,256,9406,203
6:Debris,2661,142818,0,663,32,11,1607096,0,4579,32
7:Super-Elevation,6,2015,0,97,141,2671,0,262803,76,107
8:Spatter,447881,4161544,0,631733,11838,11781,11363,10,632607923,85431
9:Over Melting,0,36498,0,3428,7,541,1,211,47971,305440
