class,name,support_px,IoU,precision,recall,top_confused_with,confused_frac
0,Powder,12081878622,0.9286,0.9997,0.9288,3:Recoater Streaking,0.0355
1,Printed,538975491,0.8987,0.9109,0.9853,8:Spatter,0.0069
2,Recoater Hopping,25,0.0000,nan,0.0000,8:Spatter,0.7200
3,Recoater Streaking,185865006,0.2952,0.2971,0.9797,0:Powder,0.0126
4,Incomplete Spreading,541797,0.0612,0.0621,0.8043,0:Powder,0.1478
5,Swelling,9102849,0.5266,0.6479,0.7377,1:Printed,0.2558
6,Debris,1757892,0.5939,0.6290,0.9142,1:Printed,0.0812
7,Super-Elevation,267916,0.9010,0.9171,0.9809,5:Swelling,0.0100
8,Spatter,637969504,0.6196,0.6229,0.9916,1:Printed,0.0065
9,Over Melting,394097,0.4902,0.5715,0.7750,8:Spatter,0.1217
