GT\Pred,0:Powder,1:Printed,2:Recoater Hopping,3:Recoater Streaking,4:Incomplete Spreading,5:Swelling,6:Debris,7:Super-Elevation,8:Spatter,9:Over Melting
0:Powder,3165755187,14652189,0,10436496,9137,7721,61,0,60338979,541
1:Printed,85133,165128225,0,1037,0,401657,0,0,26550,0
2:Recoater Hopping,0,0,0,0,0,0,0,0,0,0
3:Recoater Streaking,178896,3281,0,1122053,0,51,0,0,1898,0
4:Incomplete Spreading,325639,0,0,8,0,0,0,0,0,0
5:Swelling,49,482582,0,34,0,372721,0,0,53,0
6:Debris,0,0,0,0,0,0,0,0,0,0
7:Super-Elevation,0,0,0,0,0,2,0,0,0,0
8:Spatter,230496,18873,0,1446,0,7,0,0,29207625,0
9:Over Melting,0,0,0,0,0,0,0,0,0,0
