GT\Pred,0:Powder,1:Printed,2:Recoater Hopping,3:Recoater Streaking,4:Incomplete Spreading,5:Swelling,6:Debris,7:Super-Elevation,8:Spatter,9:Misprint,10:Over Melting,11:Under Melting
0:Powder,3210293933,10759214,0,4108119,7909681,92433,743913,320231,16774443,73,190416,7855
1:Printed,1399551,162424826,0,998,1800,1700613,40149,120,16244,0,58211,90
2:Recoater Hopping,0,0,0,0,0,0,0,0,0,0,0,0
3:Recoater Streaking,733066,3895,0,566870,346,209,785,18,941,0,49,0
4:Incomplete Spreading,324377,33,0,0,1193,0,1,23,0,0,0,20
5:Swelling,403,275514,0,9,2,579297,24,18,11,0,160,1
6:Debris,0,0,0,0,0,0,0,0,0,0,0,0
7:Super-Elevation,0,0,0,0,0,0,0,2,0,0,0,0
8:Spatter,9045734,85688,0,8808,47270,4898,182888,0,19996634,351,86176,0
9:Misprint,581,1526,0,6,2,269,29,14,0,50,3,1
10:Over Melting,0,0,0,0,0,0,0,0,0,0,0,0
11:Under Melting,0,0,0,0,0,0,0,0,0,0,0,0
