class,name,support_px,IoU,precision,recall,top_confused_with,confused_frac
0,Powder,12081878622,0.9497,0.9999,0.9498,8:Spatter,0.0253
1,Printed,538975491,0.9102,0.9222,0.9859,5:Swelling,0.0049
2,Recoater Hopping,25,0.0000,nan,0.0000,8:Spatter,0.7200
3,Recoater Streaking,185865006,0.4155,0.4168,0.9926,0:Powder,0.0033
4,Incomplete Spreading,541797,0.0777,0.0782,0.9301,0:Powder,0.0289
5,Swelling,9102849,0.5675,0.6891,0.7629,1:Printed,0.2320
6,Debris,1757892,0.7000,0.7367,0.9336,1:Printed,0.0633
7,Super-Elevation,267916,0.8514,0.9928,0.8567,1:Printed,0.1181
8,Spatter,637969504,0.6686,0.6726,0.9913,1:Printed,0.0065
9,Misprint,98205,0.2422,0.3045,0.5422,8:Spatter,0.4016
10,Over Melting,394097,0.6169,0.6700,0.8862,1:Printed,0.0721
11,Under Melting,28289106,0.9170,0.9385,0.9757,1:Printed,0.0236
