GT\Pred,0:Powder,1:Printed,2:Recoater Hopping,3:Recoater Streaking,4:Incomplete Spreading,5:Swelling,6:Debris,7:Super-Elevation,8:Spatter,9:Misprint,10:Over Melting,11:Under Melting
0:Powder,11475303929,37313389,0,257134668,5937268,436496,358924,45,305238323,112784,143,42653
1:Printed,69715,531374831,0,509366,127,2647873,226105,1586,2265562,2787,120365,1757174
2:Recoater Hopping,7,0,0,0,0,0,0,0,18,0,0,0
3:Recoater Streaking,614253,425859,0,184492152,3100,33806,571,14,285123,4,7254,2870
4:Incomplete Spreading,15647,8057,0,6516,503909,131,9,0,7473,48,7,0
5:Swelling,1149,2111467,0,40002,9,6944181,5,2,5756,67,183,28
6:Debris,2890,111217,0,436,5,5,1641127,0,2186,3,23,0
7:Super-Elevation,737,31648,0,799,210,4951,0,229526,9,8,28,0
8:Spatter,883283,4142995,0,447863,2471,9187,1073,0,632427079,5477,44023,6053
9:Misprint,2341,2881,0,100,23,162,4,0,39436,53245,0,13
10:Over Melting,3,28397,0,2848,1,457,0,19,13102,7,349249,14
11:Under Melting,1550,667525,0,5329,0,17,0,0,13237,427,0,27601021
